params,optimal_threshold,accuracy,precision,recall,f1,roc_auc
"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.5,0.7104775627830383,0.14371482176360226,0.4190371991247265,0.21402626431964236,0.6136850611334106
"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.30000000000000004,0.7472210786331824,0.151131221719457,0.36542669584245074,0.21382842509603073,0.6045540798614996
"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs', 'class_weight': None}",0.30000000000000004,0.7472210786331824,0.151131221719457,0.36542669584245074,0.21382842509603073,0.6045540798614996
"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.6291683820502264,0.13093604172385398,0.5218818380743983,0.20934825543120475,0.6075220620736186
"{'C': 0.001, 'penalty': 'l2', 'solver': 'lbfgs', 'class_weight': None}",0.5,0.7324001646768218,0.1437024513947591,0.37199124726477023,0.2073170731707317,0.6102541221733473
"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.30000000000000004,0.5613421160971593,0.12432675044883304,0.6061269146608315,0.20633147113594041,0.6051079001838154
"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.76904075751338,0.15219665271966526,0.31838074398249455,0.2059447983014862,0.6027031851225378
"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.5156442980650473,0.1211031175059952,0.6630196936542669,0.20479891855356538,0.6087133568708525
"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.7761424454508028,0.15299944964226747,0.3041575492341357,0.20358842914683267,0.6013424067635315
"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.7679086043639358,0.15023474178403756,0.3150984682713348,0.20346167432002826,0.6027177282664522
"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': None}",0.30000000000000004,0.7679086043639358,0.15023474178403756,0.3150984682713348,0.20346167432002826,0.6027177282664522
"{'C': 100, 'penalty': None, 'solver': 'lbfgs', 'class_weight': None}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 1, 'penalty': None, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 0.01, 'penalty': None, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 0.001, 'penalty': None, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 100, 'penalty': None, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 0.1, 'penalty': None, 'solver': 'lbfgs', 'class_weight': None}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 1, 'penalty': None, 'solver': 'lbfgs', 'class_weight': None}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.7763482914779745,0.15240198785201547,0.30196936542669583,0.20256880733944954,0.6012055520502849
"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs', 'class_weight': None}",0.30000000000000004,0.7727459860024701,0.15102481121898598,0.3063457330415755,0.2023121387283237,0.6020126343873509
