params,optimal_threshold,accuracy,precision,recall,f1,roc_auc
"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': None}",0.30000000000000004,0.7184026348291478,0.14469578783151327,0.4059080962800875,0.21334100057504313,0.6064517736917758
"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.7184026348291478,0.14469578783151327,0.4059080962800875,0.21334100057504313,0.6064517736917758
"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear', 'class_weight': None}",0.30000000000000004,0.6291683820502264,0.13093604172385398,0.5218818380743983,0.20934825543120475,0.6075220620736186
"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.30000000000000004,0.5613421160971593,0.12432675044883304,0.6061269146608315,0.20633147113594041,0.6051079001838154
"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'class_weight': None}",0.30000000000000004,0.76904075751338,0.15219665271966526,0.31838074398249455,0.2059447983014862,0.6027031851225378
"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': None}",0.30000000000000004,0.5156442980650473,0.1211031175059952,0.6630196936542669,0.20479891855356538,0.6087133568708525
"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.5156442980650473,0.1211031175059952,0.6630196936542669,0.20479891855356538,0.6087133568708525
"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.7679086043639358,0.15023474178403756,0.3150984682713348,0.20346167432002826,0.6027177282664522
"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.7759365994236311,0.15283122594832327,0.3041575492341357,0.203439443834614,0.6014049298523262
"{'C': 0.1, 'penalty': None, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 100, 'penalty': None, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 0.01, 'penalty': None, 'solver': 'lbfgs', 'class_weight': None}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 10, 'penalty': None, 'solver': 'lbfgs', 'class_weight': None}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 10, 'penalty': None, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 1, 'penalty': None, 'solver': 'lbfgs', 'class_weight': None}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 0.01, 'penalty': None, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.2,0.5744133388225607,0.12327485380116959,0.5765864332603938,0.20312198882250915,0.6020021931558225
"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.30000000000000004,0.7750102923013585,0.15207877461706784,0.3041575492341357,0.20277169948942378,0.6014333324880908
"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear', 'class_weight': 'balanced'}",0.30000000000000004,0.7763482914779745,0.15240198785201547,0.30196936542669583,0.20256880733944954,0.6012110212667998
"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.30000000000000004,0.7727459860024701,0.15102481121898598,0.3063457330415755,0.2023121387283237,0.6020126343873509
"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.2,0.572972416632359,0.12269652437602052,0.5754923413566739,0.20226879446260335,0.6011670810841181
